"1-Jan-2007", "10-Jan-2007",							8
"18-Jun-2008", "20-Jun-2008",							3
"16-Jun-2008", "20-Jun-2008",							5
"14-Jun-2008", "20-Jun-2008",							5
"20-Jun-2008", "20-Jun-2008",							1
"21-Jun-2008", "21-Jun-2008",							0
"20-Jun-2008", "20-Jun-2008", "20-Jun-2008",					0
"20-Jun-2008", "20-Jun-2008", "20-Jun-2008", "20-Jun-2008",			0
"14-Jun-2008", "25-Jun-2008",							8
"19-Dec-1960", "10-Jan-1961",							17
"10-Jan-1961", "19-Dec-1960",							-17
"19-Dec-1960", "10-Jan-1961", "25-Dec-1960", "26-Dec-1960", "01-Jan-1961",	16
"10-Jan-1961", "19-Dec-1960", "25-Dec-1960", "26-Dec-1960", "01-Jan-1961",	-16
"1-Jan-2007", "31-Mar-2007",							65
"1-Jan-2007", "31-Jan-2007",							23
"1-Jan-2007", "1-Feb-2007",							24
"1-Jan-2007", "28-Feb-2007",							43
"31-Jan-2007", "1-Feb-2007",							2
