18,	11,	11,	0.757766203704
6,	15,	5,	0.260474537037
12,	30,	10,	0.520949074074
18,	45,	25,	0.781539351852
15,	32,	50,	0.647800925926
12,	,	61,	0.500706018519
11,	,	-1,	0.458321759259
10,	,	-67,	0.415891203704
13,	62,	5,	0.584780092593
9,	-80,	17,	0.319641203704
8,	-162,	,	0.220833333333
2,	-120,	-1,	"#NUM!"
2,	-120,	,	0.000000000000
2,	-120,	1,	0.000011574074
36,	1,	2,	0.500717592593
-1,	2,	3,	"#NUM!"
-1,	61,	29,	0.001030092593
-1,	61,	-60,	0.000000000000
"A",	,	,	"#VALUE!"
11,	59,	0,	0.499305555556
12,	0,	0,	0.500000000000
16,	48,	10,	0.700115740741
