#Excel DateTimeStamp	Result		Comments
-2147472000,		714		//	PHP 32-bit Earliest Date	14-Dec-1901
-2082931200,		1461		//					31-Dec-1903
-2082844800,		1462		//	Excel 1904 Calendar Base Date	01-Jan-1904
-2082758400,		1463		//					02-Jan-1904
-285120000,		22269		//					19-Dec-1960
0,			25569		//	PHP Base Date			01-Jan-1970
408067200,		30292		//					07-Dec-1982
1213228800,		39611		//					12-Jun-2008
2147472000,		50424		//	PHP 32-bit Latest Date		19-Jan-2038
-2102494934,		1234.56789	//					18-May-1903 13:37:46
-1142494943,		12345.6789	//					18-Oct-1933 16:17:37
