#Periods	Payment	Present Value	Future Value	Type	Guess	Result
48,		-200,	8000,						0.0077014724882014
60,		-6000,	120000,						0.0467819164224934
60,		-1000,	120000,						-0.0204429522193565
24,		-250,	5000,						0.0151308439023434
24,		-250,	5000,		NULL,		1,		0.0165501190667120
208,		-700,	8000,						0.0874999976840937
10,		-1000,	6500,						0.0871137556058636
6,		-1000,	100000,		-126068,			0.0484721272835728
6,		1000,	100000,		-126068,			0.0302728738275435
6,		-1000,	-100000,	126068,		0,		0.0302728738275437
