#cost		salvage		life	period	month	result
1000000,	100000,		6,	1,	7,	186083.33333333
1000000,	100000,		6,	2,	7,	259639.41666667
1000000,	100000,		6,	3,	7,	176814.44275
1000000,	100000,		6,	4,	7,	120410.63551275
1000000,	100000,		6,	5,	7,	81999.642784183
1000000,	100000,		6,	6,	7,	55841.756736028
1000000,	100000,		6,	7,	7,	15845.098473848
10000,		1000,		5,	1,	6,	1845.00
10000,		1000,		5,	2,	6,	3009.195
10000,		1000,		5,	3,	6,	1898.802045
10000,		1000,		5,	4,	6,	1198.144090395
10000,		1000,		5,	5,	6,	756.02892103925
10000,		1000,		5,	6,	6,	238.52712458788
0,		0,		5,	6,	6,	0.0
-1000,		100,		5,	6,	6,	"#NUM!"
"ABC",		100,		5,	6,	6,	"#VALUE!"
