-1.5,	-1.5,	"#NUM!"
-0.75,	-1.5,	"#NUM!"
0,	-1.5,	"#DIV/0!"
0.75,	-1.5,	1.539600717839
1.5,	-1.5,	0.54433105395182
2.25,	-1.5,	0.2962962962963
3,	-1.5,	0.19245008972988
3.75,	-1.5,	0.13770607453182
4.5,	-1.5,	0.10475656017579
-1.5,	-0.75,	"#NUM!"
-0.75,	-0.75,	"#NUM!"
0,	-0.75,	"#DIV/0!"
0.75,	-0.75,	1.2408064788028
1.5,	-0.75,	0.73778794646688
2.25,	-0.75,	0.54433105395182
3,	-0.75,	0.43869133765083
3.75,	-0.75,	0.37108769116183
4.5,	-0.75,	0.32366118113822
-1.5,	0,	1
-0.75,	0,	1
0,	0,	"#NUM!"
0.75,	0,	1
1.5,	0,	1
2.25,	0,	1
3,	0,	1
3.75,	0,	1
4.5,	0,	1
-1.5,	0.75,	"#NUM!"
-0.75,	0.75,	"#NUM!"
0,	0.75,	0
0.75,	0.75,	0.80592744886766
1.5,	0.75,	1.35540300541477
2.25,	0.75,	1.83711730708738
3,	0.75,	2.27950705695478
3.75,	0.75,	2.69478083972313
4.5,	0.75,	3.08965071586068
-1.5,	1.5,	"#NUM!"
-0.75,	1.5,	"#NUM!"
0,	1.5,	0
0.75,	1.5,	0.64951905283833
1.5,	1.5,	1.83711730708738
2.25,	1.5,	3.375
3,	1.5,	5.19615242270663
3.75,	1.5,	7.26184377413891
4.5,	1.5,	9.54594154601839
-1.5,	2.25,	"#NUM!"
-0.75,	2.25,	"#NUM!"
0,	2.25,	0
0.75,	2.25,	0.52346523324493
1.5,	2.25,	2.49003431932572
2.25,	2.25,	6.20027091141992
3,	2.25,	11.8446661165724
3.75,	2.25,	19.5690774636122
4.5,	2.25,	29.4936251312199
-1.5,	3,	-3.375
-0.75,	3,	-0.421875
0,	3,	0
0.75,	3,	0.421875
1.5,	3,	3.375
2.25,	3,	11.390625
3,	3,	27
3.75,	3,	52.734375
4.5,	3,	91.125
-1.5,	3.75,	"#NUM!"
-0.75,	3.75,	"#NUM!"
0,	3.75,	0
0.75,	3.75,	0.34000064249104
1.5,	3.75,	4.57448514327484
2.25,	3.75,	20.9259143260422
3,	3.75,	61.546690537779
3.75,	3.75,	142.107583344775
4.5,	3.75,	281.544421482804
-1.5,	4.5,	"#NUM!"
-0.75,	4.5,	"#NUM!"
0,	4.5,	0
0.75,	4.5,	0.27401585041617
1.5,	4.5,	6.20027091141992
2.25,	4.5,	38.443359375
3,	4.5,	140.296115413079
3.75,	4.5,	382.948792776857
4.5,	4.5,	869.873923380926
