1.5,	-1,	"#NUM!"
0,	1,	0.0
1,	1,	4.4005058567713000E-01
1,	5,	2.4975773021123400E-04
1.9,	2,	3.2992582866978500E-01
-2.5,	1.5,	-4.9709410250442200E-01
3.5,	1,	1.3737752717818600E-01
0.89,	3,	1.3974004027880800E-02
3.5,	2,	4.5862918476829000E-01
35,	2,	1.2935945082689100E-01
-35,	2,	1.2935945082689100E-01
-35,	3,	2.9207004782372000E-02
-35,	4,	-1.3436636593244100E-01
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-3.5,	1,	-1.3737752717818600E-01
-0.735,	1,	-3.4323577520309400E-01
0,	1,	0.0
0.035,	1,	1.7497320451918700E-02
1.5,	1,	5.5793650789080400E-01
2.5,	1,	4.9709410250442200E-01
3.5,	1,	1.3737752717818600E-01
-9,	2,	1.4484636919412800E-01
-0.735,	2,	6.4538955636373900E-02
0,	2,	0.0
0.9,	2,	9.4586304292255000E-02
1.9,	2,	3.2992582866978500E-01
0.035,	2,	1.5310936908796500E-04
3.5,	2,	4.5862918476829000E-01
4,	2,	3.6412814319431200E-01
0.035,	3,	8.9316078090293600E-07
0.7,	3,	6.9296548267509400E-03
0.89,	3,	1.3974004027880800E-02
4,	3,	4.3017147115339600E-01
4,	5,	1.3208665605594800E-01
1.5,	7,	2.4679795788287900E-05
3,	9,	8.4395021309091800E-05
