"12.34+5.67j",		13.580298229420
"1.234E-5+6.78E9i",	6.78E9
"3.5+2.5i",		4.301162633521
"3.5+i",		3.640054944640
"3.5",			3.5
"3.5-i",		3.640054944640
"3.5-2.5i",		4.301162633521
"1+2.5i",		2.692582403567
"1+i",			1.414213562373
"1",			1
"1-i",			1.414213562373
"1-2.5i",		2.692582403567
"2.5i",			2.5
"i",			1
"0",			0
"-i",			1
"-2.5i",		2.5
"-1+2.5i",		2.692582403567
"-1+i",			1.414213562373
"-1",			1
"-1-i",			1.414213562373
"-1-2.5i",		2.692582403567
"-3.5+2.5i",		4.301162633521
"-3.5+i",		3.640054944640
"-3.5",			3.5
"-3.5-i",		3.640054944640
"-3.5-2.5i",		4.301162633521
