"12.34+5.67j",	"123.45+67.89i",				"#NUM!"
"12.34+5.67j",	"123.45+67.89j",				"135.79+73.56j"
"12.34-5.67i",	"123.45+67.89i",				"135.79+62.22i"
"12.34+5.67i",	"123.45-67.89i",				"135.79-62.22i"
"12.34-5.67i",	"123.45-67.89i",				"135.79-73.56i"
"12.34+5.67i",	"123.45+67.89i",	"123.45+67.89i",	"259.24+141.45i"
"12.34+5.67i",	"123.45+67.89i",	"123.45+67.89j",	"#NUM!"
"-12.34-5.67i",	"123.45-67.89i",				"111.11-73.56i"
"12.34-5.67i",	"-123.45-67.89i",				"-111.11-73.56i"
"-12.34-5.67i",	"-123.45-67.89i",				"-135.79-73.56i"
