1.5,	-1,	"#NUM!"
0,	2,	"#NUM!"
0.1,	3,	7.9900124326586500E+03
1,	0,	4.2102442108341800E-01
1.5,	0,	2.1380556932365400E-01
-1.5,	2,	"#NUM!"
1.5,	1,	2.7738780363225900E-01
1.5,	2,	5.8365597416666600E-01
2.3,	1.5,	9.4982447142959400E-02
2.5,	1,	7.3890815650266900E-02
3.5,	1,	2.2239393224640700E-02
3.5,	3,	5.9161817991348200E-02
3,	9,	3.9795880106238500E+02
3.5,	2,	3.2307121670869000E-02
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-3.5,	1,	"#NUM!"
-0.735,	1,	"#NUM!"
0,	1,	"#NUM!"
0.035,	1,	2.8501970000186900E+01
1.5,	1,	2.7738780363225900E-01
2.5,	1,	7.3890815650266900E-02
3.5,	1,	2.2239393224640700E-02
-9,	2,	"#NUM!"
-0.735,	2,	"#NUM!"
0,	2,	"#NUM!"
0.9,	2,	2.0790271301014400
1.9,	2,	2.9690930137427500E-01
0.035,	2,	1.6321537072931900E+03
3.5,	2,	3.2307121670869000E-02
4,	2,	1.7401425543547400E-02
0.035,	3,	1.8656035423207900E+05
0.7,	3,	2.1972168909566600E+01
0.89,	3,	1.0317473075007600E+01
4,	3,	2.9884924431707800E-02
4,	5,	1.5434254881392600E-01
1.5,	7,	2.4577004526116700E+03
3,	9,	3.9795880106238500E+02
