3,		4,		"3+4i"
3,		4,	"j",	"3+4j"
12.34,		5.67,	"j",	"12.34+5.67j"
3.5,		"A",		"#VALUE!"
1.234E-5,	6.78E9,		"1.234E-5+6780000000i"
1.234E5,	6.78E-9,	"123400+6.78E-9i"
3.5,		2.5,		"3.5+2.5i"
3.5,		1,		"3.5+i"
3.5,		0,		3.5
3.5,		-1,		"3.5-i"
3.5,		-2.5,		"3.5-2.5i"
1,		2.5,		"1+2.5i"
1,		1,		"1+i"
1,		0,		1
1,		-1,		"1-i"
1,		-2.5,		"1-2.5i"
0,		2.5,		"2.5i"
0,		1,		"i"
0,		0,		0
0,		-1,		"-i"
0,		-2.5,		"-2.5i"
-1,		2.5,		"-1+2.5i"
-1,		1,		"-1+i"
-1,		0,		-1
-1,		-1,		"-1-i"
-1,		-2.5,		"-1-2.5i"
-3.5,		2.5,		"-3.5+2.5i"
-3.5,		1,		"-3.5+i"
-3.5,		0,		"-3.5"
-3.5,		-1,		"-3.5-i"
-3.5,		-2.5,		"-3.5-2.5i"
-2.5,		-2.5,		"-2.5-2.5i"
-2.5,		-2.5,		"-2.5-2.5i"
-1.5,		-2.5,		"-1.5-2.5i"
-1.5,		-2.5,		"-1.5-2.5i"
-0.5,		-2.5,		"-0.5-2.5i"
0,		-2.5,		"-2.5i"
0.5,		-2.5,		"0.5-2.5i"
1,		-2.5,		"1-2.5i"
1.5,		-2.5,		"1.5-2.5i"
2,		-2.5,		"2-2.5i"
2.5,		-2.5,		"2.5-2.5i"
3,		-2.5,		"3-2.5i"
3.5,		-2.5,		"3.5-2.5i"
-2.5,		-2.5,		"-2.5-2.5i"
-2.5,		-2.5,		"-2.5-2.5i"
-1.5,		-2.5,		"-1.5-2.5i"
-1.5,		-2.5,		"-1.5-2.5i"
-0.5,		-2.5,		"-0.5-2.5i"
0,		-2.5,		"-2.5i"
0.5,		-2.5,		"0.5-2.5i"
1,		-2.5,		"1-2.5i"
1.5,		-2.5,		"1.5-2.5i"
2,		-2.5,		"2-2.5i"
2.5,		-2.5,		"2.5-2.5i"
3,		-2.5,		"3-2.5i"
3.5,		-2.5,		"3.5-2.5i"
-2.5,		-1.5,		"-2.5-1.5i"
-2.5,		-1.5,		"-2.5-1.5i"
-1.5,		-1.5,		"-1.5-1.5i"
-1.5,		-1.5,		"-1.5-1.5i"
-0.5,		-1.5,		"-0.5-1.5i"
0,		-1.5,		"-1.5i"
0.5,		-1.5,		"0.5-1.5i"
1,		-1.5,		"1-1.5i"
1.5,		-1.5,		"1.5-1.5i"
2,		-1.5,		"2-1.5i"
2.5,		-1.5,		"2.5-1.5i"
3,		-1.5,		"3-1.5i"
3.5,		-1.5,		"3.5-1.5i"
-2.5,		-1.5,		"-2.5-1.5i"
-2.5,		-1.5,		"-2.5-1.5i"
-1.5,		-1.5,		"-1.5-1.5i"
-1.5,		-1.5,		"-1.5-1.5i"
-0.5,		-1.5,		"-0.5-1.5i"
0,		-1.5,		"-1.5i"
0.5,		-1.5,		"0.5-1.5i"
1,		-1.5,		"1-1.5i"
1.5,		-1.5,		"1.5-1.5i"
2,		-1.5,		"2-1.5i"
2.5,		-1.5,		"2.5-1.5i"
3,		-1.5,		"3-1.5i"
3.5,		-1.5,		"3.5-1.5i"
-2.5,		-0.5,		"-2.5-0.5i"
-2.5,		-0.5,		"-2.5-0.5i"
-1.5,		-0.5,		"-1.5-0.5i"
-1.5,		-0.5,		"-1.5-0.5i"
-0.5,		-0.5,		"-0.5-0.5i"
0,		-0.5,		"-0.5i"
0.5,		-0.5,		"0.5-0.5i"
1,		-0.5,		"1-0.5i"
1.5,		-0.5,		"1.5-0.5i"
2,		-0.5,		"2-0.5i"
2.5,		-0.5,		"2.5-0.5i"
3,		-0.5,		"3-0.5i"
3.5,		-0.5,		"3.5-0.5i"
-2.5,		0,		-2.5
-2.5,		0,		-2.5
