1.0,	"lbm",	"kg",	0.45359230974881
123.45,	"kg",	"kg",	123.45
68,	"F",	"C",	20
20,	"C",	"F",	68
68,	"F",	"K",	293.15
293.15,	"K",	"F",	68
22,	"C",	"K",	295.15
295.65,	"K",	"C",	22.5
2.5,	"ft",	"sec",	"#N/A"
12345,	"m",	"km",	12.345
12.345,	"km",	"m",	12345
1,	"km",	"mi",	0.62137119223733
"three","ft",	"yds",	"#VALUE!"
123.45,	"K",	"kel",	123.45
123.45,	"C",	"cel",	123.45
123.45,	"F",	"fah",	123.45
1,	"ft",	"day",	"#N/A"
123.45,	"m",	"m",	123.45
234.56,	"km",	"km",	234.56
234.56,	"kpt",	"lt",	"#N/A"
234.56,	"sm",	"m",	"#N/A"
234.56,	"lt",	"kpt",	"#N/A"
234.56,	"m",	"sm",	"#N/A"
12.345,	"km",	"mm",	12345000
