"12.34+5.67j",	"123.45+67.89i",	"#NUM!"
"12.34+5.67j",	"123.45+67.89j",	"0.0961415519586104-0.00694248653276682j"
"-12.34+5.67i",	"-123.45+67.89i",	"0.0961415519586104+0.00694248653276682i"
"-12.34-5.67i",	"-123.45+67.89i",	"0.0573549954111941+0.0774712890924744i"
"-12.34+5.67i",	"-123.45-67.89i",	"0.0573549954111941-0.0774712890924744i"
"-12.34-5.67i",	"-123.45-67.89i",	"0.0961415519586104-0.00694248653276682i"
"12.34+5.67i",	"-123.45+67.89i",	"-0.0573549954111941-0.0774712890924744i"
"12.34-5.67i",	"-123.45+67.89i",	"-0.0961415519586104-0.00694248653276682i"
"12.34+5.67i",	"-123.45-67.89i",	"-0.0961415519586104+0.00694248653276682i"
"12.34-5.67i",	"-123.45-67.89i",	"-0.0573549954111941+0.0774712890924744i"
"-12.34+5.67i",	"123.45+67.89i",	"-0.0573549954111941+0.0774712890924744i"
"-12.34-5.67i",	"123.45+67.89i",	"-0.0961415519586104+0.00694248653276682i"
"-12.34+5.67i",	"123.45-67.89i",	"-0.0961415519586104-0.00694248653276682i"
"-12.34-5.67i",	"123.45-67.89i",	"-0.0573549954111941-0.0774712890924744i"
"-12.34-5.67i",	"123.45-67.89",		"#NUM!"
"-12.34-5.67j",	"123.45-67.89",		"#NUM!"
"-12.34-5.67",	"123.45-67.89j",	"#NUM!"
"-12.34-5.67i",	"-12.34-5.67i",		"1"
"-12.34",	"123.45-67.89i",	"-0.0767482736849023-0.0422068878126206i"
"-12.34-5.67i",	"-12.34",		"1+0.459481361426256i"
