1.5,	-1,	"#NUM!"
1.23,	45.67,	-2.7027311261175000E+63
2.5,	0,	4.9807035844668900E-01
2.5,	1,	1.4591813750831300E-01
2.5,	2,	-3.8133584844003800E-01
3.5,	1,	4.1018841662769800E-01
3.5,	3,	-3.5833534643622900E-01
4,	2,	2.1590359910699000E-01
3.5,	2,	4.5371436417535000E-02
12.5,	0,	-1.7121430684466900E-01
12.5,	1,	-1.5383825635163900E-01
12.5,	2,	1.4660018586805400E-01
12.5,	22,	-3.5760343503878700E+02
1.5,	"XYZ",	"#VALUE!"
"ABC",	3,	"#VALUE!"
-3.5,	1,	"#NUM!"
-0.735,	1,	"#NUM!"
0,	1,	"#NUM!"
0.035,	1,	-1.8233338940000000E+01
1.5,	1,	-4.1230862700000000E-01
2.5,	1,	1.4591813800000000E-01
3.5,	1,	4.1018841700000000E-01
-9,	2,	"#NUM!"
-0.735,	2,	"#NUM!"
0,	2,	"#NUM!"
0.9,	2,	-1.9459096070000000
1.9,	2,	-6.6987867400000000E-01
0.035,	2,	-1.0396979410000000E+03
3.5,	2,	4.5371436000000000E-02
4,	2,	2.1590359900000000E-01
0.035,	3,	-1.1880438840000000E+05
0.7,	3,	-1.5819479070000000E+01
0.89,	3,	-8.0204412520000000
4,	3,	-1.8202211000000000E-01
4,	5,	-7.9585141800000000E-01
1.5,	7,	-1.8873970340000000E+03
3,	9,	-4.4495950710000000E+02
