-1.5,	-1.5,	1
-0.75,	-1.5,	1
0,	-1.5,	1
0.75,	-1.5,	1
1.5,	-1.5,	1
2.25,	-1.5,	1
3,	-1.5,	1
3.75,	-1.5,	1
4.5,	-1.5,	1
-1.5,	-0.75,	0
-0.75,	-0.75,	1
0,	-0.75,	1
0.75,	-0.75,	1
1.5,	-0.75,	1
2.25,	-0.75,	1
3,	-0.75,	1
3.75,	-0.75,	1
4.5,	-0.75,	1
-1.5,	0,	0
-0.75,	0,	0
0,	0,	1
0.75,	0,	1
1.5,	0,	1
2.25,	0,	1
3,	0,	1
3.75,	0,	1
4.5,	0,	1
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	1
1.5,	0.75,	1
2.25,	0.75,	1
3,	0.75,	1
3.75,	0.75,	1
4.5,	0.75,	1
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0
1.5,	1.5,	1
2.25,	1.5,	1
3,	1.5,	1
3.75,	1.5,	1
4.5,	1.5,	1
-1.5,	2.25,	0
-0.75,	2.25,	0
0,	2.25,	0
0.75,	2.25,	0
1.5,	2.25,	0
2.25,	2.25,	1
3,	2.25,	1
3.75,	2.25,	1
4.5,	2.25,	1
-1.5,	3,	0
-0.75,	3,	0
0,	3,	0
0.75,	3,	0
1.5,	3,	0
2.25,	3,	0
3,	3,	1
3.75,	3,	1
4.5,	3,	1
-1.5,	3.75,	0
-0.75,	3.75,	0
0,	3.75,	0
0.75,	3.75,	0
1.5,	3.75,	0
2.25,	3.75,	0
3,	3.75,	0
3.75,	3.75,	1
4.5,	3.75,	1
-1.5,	4.5,	0
-0.75,	4.5,	0
0,	4.5,	0
0.75,	4.5,	0
1.5,	4.5,	0
2.25,	4.5,	0
3,	4.5,	0
3.75,	4.5,	0
4.5,	4.5,	1
